QA_ID,Recruiter_ID,Candidate_ID,Feedback_Score,Category,Comment,Alignment_with_Policy,Coaching_Required,Response_Time_Sec
QBYRB4BIK,RQTPZN2,CUZD1T7H6,61.5,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
Q8JEPD263,RX70EUX,CY64R1LQT,93.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QYM0P2C0L,RKBQMI1,CPE9ILSYS,85.7,Language,Shorten sentences; check grammar in templates.,Yes,No,10
QXIQ8WZ17,RGQO9D4,CFWUSY4FP,66.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QTQIYMF2T,RO60RRW,CY7P30UGU,81.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,22
QSL3MQAFE,RKBQMI1,C69IGZKHB,85.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QKNT2FQIZ,R1VCYW5,C741I6YGE,80.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QEWL1NA41,RGTYOX0,CKNHOED0C,75.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,14
QECJ002FD,RV5J536,CGM03NFGD,83.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QHIW8WPAF,R3CIL6P,CDG1DVMN8,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QGKY4PE4U,RSHG3JO,CK03LE6FV,91.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QC0I4EEQD,RGTYOX0,CA0AC95Z4,81.9,Language,Shorten sentences; check grammar in templates.,Yes,No,17
QMF3HRIBO,RYZBJPT,C65SZSYUS,75.5,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,3
QBRQ73JD2,RE2MZO2,CZW6AKGUW,96.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QQ5G3MWSM,R3CIL6P,C8LH8WKWS,84.6,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,20
QNG8AVQZ3,RJX8UH8,CX5W8EMED,91.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
Q3YW3KXHR,RKBQMI1,CLNCQ6OXG,67.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,3
QK6GGNCY1,RVOJX6Q,CB0NSJNLB,86.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QI3BG26NX,RBOEB9D,CRL283PSQ,79.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QIOCK9F0B,R1NKAAB,CGFQ62SHM,87.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
Q8VGETPVY,RVLO5D3,C660H8TTZ,62.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,17
Q74NXVOX7,R3U9XBG,CJEJ77SO3,73.1,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QP0VHITRW,RX70EUX,CP71ASFII,69.2,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QNQSECZKN,RV5J536,CG4O8EQ6B,65.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,20
QBY1O7PJZ,ROD2CCE,CW23HH7TP,81.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QKHO36MBD,RYZBJPT,CMC7G3GLV,70.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,15
QP18NI7Y5,RS6K3JJ,CVN8DMEM8,80.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QAMS95Z81,RO60RRW,C6EKCA47F,76.1,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,19
Q8LHLZMXM,R1NKAAB,CPBY1KMIO,95.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,25
Q2BYAOVLZ,RQTPZN2,CEN7PEX85,71.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QA62WYUM7,RYZBJPT,C5VQL7ZG8,74.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,7
QWIHQDVQF,RO60RRW,CCKZK05CA,75.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,3
QKZY0OLGJ,REU373Y,CI9XBI057,81.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QEZ5ZQLPJ,REU373Y,C0UTRIRA8,71.8,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,6
Q44UFZ0PU,RYZBJPT,CVRRBQM35,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,12
QGS62HB02,RILR9IM,CJK35M072,97.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QS98WDMX2,R1NKAAB,CM0TJS5I0,97.2,Language,Shorten sentences; check grammar in templates.,Yes,No,17
Q301GG4TP,RJX8UH8,CF3U7PHV7,72.5,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QYDONM5CW,R7V5FWU,C1WCKG0BH,78.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
QRATNXCGG,R1NKAAB,CF3U7PHV7,94.4,Language,Shorten sentences; check grammar in templates.,No,Yes,14
QQ6EFW4AZ,RV5J536,CGFQ62SHM,84.1,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
Q2ZJGXJX6,R1NKAAB,CANKVJ8KS,83.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QS1FLEL86,RE2MZO2,C3MPLSEPG,90.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QCJYP9Q40,RO60RRW,C03PK8QLP,87.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,7
QP1EUTASX,RKBQMI1,C2TQONTYP,73.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,8
QEGZHMGPI,RGTYOX0,C4U1VMXWZ,69.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QFZXQNBUT,RO60RRW,C3BPVSY2O,78.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,3
QWKQYGIKP,RYZBJPT,CFLQUXY4C,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
Q0TU91IQ0,RO60RRW,CO7YD4426,71.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,7
Q1L6S5HLW,RDHQQWC,C1B4OO85B,81.9,Language,Shorten sentences; check grammar in templates.,Yes,No,12
Q9CFLVG9R,RYZBJPT,CAP9PZJ11,68.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QOH9KRXBH,RV5J536,CTWQF6194,65.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,8
QSNLS232B,RE2MZO2,CLH1YIYZT,75.8,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,10
QIVWY5CBQ,RO60RRW,C1TX49DZI,87.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QFQTC8WZT,RILR9IM,CAVXNQ2NC,68.3,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,7
QM4G8Z96I,RXYNE26,CF1ZMC8Q6,90.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
QTUC068U9,RQTPZN2,C84XNH42I,83.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QNPUULTK8,RYZBJPT,CJKPBYWLN,89.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
Q3CMZN0VR,RYZBJPT,C51LO6BSE,79.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
QV6578WJF,RGQO9D4,CP71ASFII,94.8,Language,Shorten sentences; check grammar in templates.,Yes,No,8
Q6271DHGE,RABAG5I,CS03PXT8X,71.6,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QGUA4R5PU,R1NKAAB,C1KYYVB58,73.5,Language,Shorten sentences; check grammar in templates.,No,Yes,3
Q39PDRPHV,RKBQMI1,CK9IBU9D4,84.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,9
QS6X46E48,RRP3YAQ,C2S9PYD7F,75.9,Language,Shorten sentences; check grammar in templates.,Yes,Yes,5
QCKTBG9QK,RGQO9D4,CB18RTRCW,67.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,10
Q09SRXCPY,RS6K3JJ,CY64R1LQT,74.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QSBPLL67K,RGQO9D4,CG2NPTP1I,68.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,3
Q8QLNEE9G,R2KT8NL,C0IHDR1V5,90.9,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QKK0PCENJ,ROD2CCE,CNVS00K4N,69.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,16
Q8QR6OOFZ,R3U9XBG,CTDYBJZS1,70.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,17
QLUMF49ND,REU373Y,CH99N2Z75,86.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q81XYWPSG,R3U9XBG,CB1W2WOV0,94.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QDSPVVDBE,R3CIL6P,CBC4C26QL,96.8,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
Q2Q5XLFFB,RGTYOX0,CRNYXK8VC,91.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QJPBE8M06,ROD2CCE,C3IJ45BKZ,79.6,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QI0BWZFP7,R2KT8NL,C4MR2GH1G,84.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,13
QNN4HOYCY,RX70EUX,CESNDSFAE,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
QFV47WZV1,RV5J536,CBET30UD1,91.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,14
QCWJQDENO,RGQO9D4,CSQVGPHFD,79.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QYB8MX950,R7V5FWU,CM0DC4VM1,79.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QDAXZPCRX,R3CIL6P,C0BURTE8I,96.5,Language,Shorten sentences; check grammar in templates.,No,Yes,6
QX39JLWVV,RGTYOX0,CAU0TN3NZ,86.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
QNPDVGAWK,R6TL5AY,CSK87RAVT,63.5,Policy,Missed policy nuance; add the required verification step.,No,Yes,6
QNHPK8Y6M,RXYNE26,C1LC7RD79,74.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QZW9XQA2M,RILR9IM,C7EV2IJR5,90.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
Q3TB3PN0K,RKBQMI1,CCQ8OTTXG,75.1,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,15
Q5RBE89DY,RJX8UH8,C5VQL7ZG8,66.5,Language,Shorten sentences; check grammar in templates.,No,Yes,21
QWX0ID9L8,R7V5FWU,CEJT55GYD,90.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,21
QVHM0AV1M,RYZBJPT,C18UV0JLW,87.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,23
Q6BYMHHBE,RS6K3JJ,CK7IB1W6Q,84.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
QGBWBWP5N,RSHG3JO,CHTT2J7Q3,73.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,15
QDFV29VXK,RKBQMI1,CA2R8U4FF,83.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
Q77SH1EMT,RABAG5I,C81D3YSF9,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,6
QT4E3SYGW,R7V5FWU,CDNSYD3Q5,53.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,16
QUXLUUYLM,RVOJX6Q,CEKO45OLT,84.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
Q4LD9ZM4M,R1NKAAB,C90B3F0WK,89.6,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,20
QVOM4ZRAZ,R1NKAAB,CMY5XSXCV,79.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,21
QCGNAOEE4,R1NKAAB,CYMQZP3T9,83.1,Language,Shorten sentences; check grammar in templates.,Yes,No,15
Q66IQ1J06,R1VCYW5,CZ77R8TXV,87.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,3
QZO5524T5,RILR9IM,CS03PXT8X,93.8,Language,Shorten sentences; check grammar in templates.,Yes,No,14
Q2SJZXSWI,RVLO5D3,CIXQEZ3UG,66.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,13
QGJRZM720,RQTPZN2,CKXMRGPIE,84.8,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,16
QNE829RL8,RGTYOX0,CFVDXWD1O,78.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
QFN1L2681,RQTPZN2,C7IO4WOJB,93.5,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,19
QXRVDK3W4,RXYNE26,CM0DC4VM1,86.8,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
QP1PPXDMF,RVLO5D3,CPZ1RQQ5N,91.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QS39DDLK6,RO60RRW,C8XRJSNWB,85.9,Language,Shorten sentences; check grammar in templates.,Yes,No,5
Q6BSH5SBA,RJX8UH8,CX68UZ72K,96.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,3
Q2F0I84CG,RSHG3JO,CNVS00K4N,79.5,Language,Shorten sentences; check grammar in templates.,Yes,No,15
QYGEO6SX9,RGTYOX0,CEJ7TML4K,90.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QO4YE6VUZ,RRP3YAQ,C5RUK7R1M,84.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QKUYZWQX0,RGTYOX0,C2WROF7XL,82.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
Q1K7CAS4A,RBOEB9D,C5IUQFOCG,77.6,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,3
QB4A918CC,RV5J536,CC7NRWXA5,68.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,14
QHVJ6BZ7P,RSHG3JO,CFPSTISKY,75.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
Q62D25TQ9,RGQO9D4,CGZSWZ92W,76.3,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,11
QK33K35RT,RO60RRW,CIQMOZI61,95.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
Q7OIC5GP1,RVLO5D3,CKP89F6D0,74.7,Policy,Missed policy nuance; add the required verification step.,No,Yes,16
Q7N45G7BN,REU373Y,CV7OEI60D,81.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QHX3KQ6HP,R7V5FWU,CA1MXON5D,96.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
QUZWU0TWC,R3U9XBG,CUQ8S7HQF,87.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
Q109W8WTU,RE2MZO2,C246KZVQO,77.9,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,12
QSQUUP5FN,RS6K3JJ,CK03LE6FV,71.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,6
QCPVSG4WZ,RXYNE26,C03PK8QLP,85.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QQBJLB1N2,RGQO9D4,CCQD4SLAR,84.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
QJNLS8XYF,ROD2CCE,CARAFWZK2,95.4,Empathy,Improve tone and acknowledgment before solution.,No,Yes,22
Q4POIMN03,RE2MZO2,CVI6R5YMI,90.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QGZFQVU2J,R1NKAAB,CHTI8C824,85.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QL1KDVHVD,RE2MZO2,CV1UN044H,76.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,15
QGD6CRH1E,RDHQQWC,CLIKFB7C5,90.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
Q671AZZZX,RBOEB9D,CUX955WMP,73.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
Q6RYXE6XR,R2KT8NL,CLGZCS08K,89.3,Language,Shorten sentences; check grammar in templates.,Yes,No,15
QFSB18BD7,RQTPZN2,CDNSYD3Q5,79.6,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,19
QMJCYW5UY,RVOJX6Q,C0UTRIRA8,80.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
Q4YRO2F4W,RGTYOX0,CZK4N6IT1,96.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,10
QCCKA1XQ3,REU373Y,CQ0I934CU,97.3,Language,Shorten sentences; check grammar in templates.,Yes,No,15
Q2RXD2SP5,RGTYOX0,CL4BQ28JX,80.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QOF0U1M86,RILR9IM,CEFJ9G6Y7,81.1,Language,Shorten sentences; check grammar in templates.,Yes,No,20
QFJ4X961B,RVLO5D3,CC1ZNWNJP,79.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QWD6YMZLE,R3U9XBG,C2Y78ZNVP,74.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QXUDBDII7,RQTPZN2,CWOWLMVUU,75.6,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,16
QX8KWJQLF,RSHG3JO,C6V4GCT31,93.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,6
Q98GH6WT2,RRP3YAQ,CMJ3BMKJG,79.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QVRZJA24W,RGTYOX0,C6EV7X8ML,91.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,20
Q3LC3G7TS,RKBQMI1,C7P9C0VII,77.8,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,10
QEPJLVU5Q,RXYNE26,C1HNV5IVC,87.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
QDE5CZZHI,RS6K3JJ,C5ZGFVBLE,79.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,12
QPCC3O13O,RGTYOX0,C35TWZSGP,87.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,28
Q8MI673MJ,R2KT8NL,C4TZRPW3M,84.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QXXCB3CL1,RVLO5D3,CK600J9QT,80.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QZOE82BJO,RT9XGGL,CKZQQXND4,79.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,5
QDDGL77U7,R3U9XBG,CY7P30UGU,78.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
QRCUNJN6Z,RABAG5I,CANKVJ8KS,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
Q9F05VXSF,RV5J536,CH2C419Y5,83.6,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,14
QJHK2S2Z2,RABAG5I,CGRH6JFU5,75.3,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,13
QMJR9480S,RJX8UH8,C8VKM0Q45,84.1,Language,Shorten sentences; check grammar in templates.,Yes,No,13
Q5P9648I9,RILR9IM,CFKSMA40S,92.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QOXVNW6MN,ROD2CCE,CITRZHX1N,88.5,Policy,Missed policy nuance; add the required verification step.,No,Yes,6
QVU5DHQU7,R2KT8NL,CTHV0MENH,80.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QU9FLG344,R1VCYW5,C7D16XOFY,74.4,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QTF8E4JHV,RE2MZO2,COMZOQPJE,80.5,Language,Shorten sentences; check grammar in templates.,Yes,No,15
QP63CIJS3,RE2MZO2,CIQMOZI61,60.4,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,9
QT37GXJDI,REU373Y,C4EWN1C6Z,72.9,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QWBFT8C5C,RE2MZO2,C0LI7RBRQ,73.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,18
Q807YGQ5Y,RO60RRW,CPD340WOT,96.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QRBLIZH3K,RABAG5I,CRL283PSQ,70.8,Language,Shorten sentences; check grammar in templates.,No,Yes,16
QYBGAYXFT,RE2MZO2,CBIUBMF7C,86.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,6
QG7NQ8UFC,RX70EUX,CMALPTXIV,65.4,Empathy,Improve tone and acknowledgment before solution.,No,Yes,6
QVW6AL3DL,REU373Y,CZTC65UZO,87.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
Q0TQTXKLM,RE2MZO2,CQX8PH0AQ,79.9,Language,Shorten sentences; check grammar in templates.,Yes,No,14
QRJF846F8,R2KT8NL,CUZAQS6LI,75.8,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,12
QE04SUN3Z,R2KT8NL,CTF2MD9GA,93.6,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QA0LD2IIF,R2KT8NL,CQEYRLIUY,78.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,15
QAPIRE1WF,RV5J536,C7SSQPYUF,74.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,5
Q8LWOJHSF,RBOEB9D,C2Q9CG8KL,82.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
QJGSZ00KO,ROD2CCE,CVIZV3FIK,96.8,Language,Shorten sentences; check grammar in templates.,Yes,No,8
QOLDO4WE4,R3CIL6P,CGHA063NV,96.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,3
QUQQYZGK6,RDHQQWC,CAV1DDJ4S,79.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,20
QPEI7GXXQ,RV5J536,CSB45TLDW,86.5,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QZJK2U6W9,RGTYOX0,CUZAQS6LI,83.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QIUOUPC7Y,R2KT8NL,CKXCYULZX,73.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,4
QCGKT0Q3F,RKBQMI1,CPLFVUAOK,93.4,Language,Shorten sentences; check grammar in templates.,Yes,No,3
