QA_ID,Recruiter_ID,Candidate_ID,Feedback_Score,Category,Comment,Alignment_with_Policy,Coaching_Required,Response_Time_Sec
Q5RIN71V0,RABAG5I,C8XRJSNWB,91.9,Language,Shorten sentences; check grammar in templates.,No,Yes,11
QOE58SEW5,RXYNE26,C5EJDZIL4,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QVJR74XLH,R7V5FWU,CC0WB6A80,86.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,18
Q8Y9AKLY4,ROD2CCE,C2G46DQ3R,78.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QGDHRW65D,RKBQMI1,CK8W2Q5CE,90.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QAGT2S0CK,RJX8UH8,C33P6G7KU,73.8,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QCWCYHECQ,R1VCYW5,C3EPEU7CO,80.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QKZ2WJZ9X,R1NKAAB,C8SF1R4M9,77.4,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,17
QHZC8SRM8,RKBQMI1,C6O8UNAVX,82.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,7
QMFICM8I8,RJX8UH8,CDUMUVZTX,90.1,Empathy,Improve tone and acknowledgment before solution.,Yes,No,5
QAH0JB5SR,RGTYOX0,CK9L324AR,67.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,16
QN03T7MRW,RVLO5D3,COO4E4OXU,70.2,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QMRY8T4E6,R3CIL6P,CD09PC5GS,93.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
QRHCBM0UE,RSHG3JO,C3XA2VW5R,91.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,4
Q77MAPQYF,RYZBJPT,CEUPR3UFN,81.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,15
Q9HA6XYKM,RBOEB9D,CPBHOCLQ8,83.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QUH5KKOMV,R6TL5AY,CGHUOPR05,84.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
Q0YN8J07E,RILR9IM,CN2FPYZPC,84.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
QEZD26QDH,RO60RRW,CSZVSC65G,68.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,17
QJ09U6PYZ,R7V5FWU,CJTUDUFU7,86.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,23
QW24XARHA,RILR9IM,C6UZ57Y2Q,91.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
Q4VB0ZWKP,RKBQMI1,CYMQZP3T9,93.4,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,15
QJD4SU8ND,RBOEB9D,CCVGXOPY1,78.8,Language,Shorten sentences; check grammar in templates.,Yes,No,6
QYAANN267,R2KT8NL,CK9IBU9D4,94.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QY73PHENX,RQTPZN2,C80WMAEKB,95.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QR27QXRW8,RX70EUX,C2BGRGLXF,76.6,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,10
QEZ0W4EA4,RVLO5D3,CPD340WOT,86.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
QXMBS0O4Z,RO60RRW,CG58985QG,79.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QYEJSNHCA,RVLO5D3,CNSBF1MVU,82.6,Empathy,Improve tone and acknowledgment before solution.,No,Yes,9
QTH5SBJT3,RABAG5I,C2XA9A9BS,81.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,16
QVT8N1AP6,R1VCYW5,CT2Q4TJIL,73.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,9
QFS1XAAV7,RRP3YAQ,CE50NZABS,82.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QASW53COC,R3U9XBG,CEJT55GYD,71.6,Language,Shorten sentences; check grammar in templates.,No,Yes,5
Q22TLFDRO,R3CIL6P,CS18R594Q,80.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
QY221PUN6,R3CIL6P,CLNCQ6OXG,63.0,Language,Shorten sentences; check grammar in templates.,No,Yes,9
QNNA2X9KO,RBOEB9D,C5RBS69OF,57.2,Empathy,Improve tone and acknowledgment before solution.,No,Yes,14
QLRETDJWA,RRP3YAQ,CWYEN2WEB,92.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
Q2YQ1IONU,R3CIL6P,CD0X0T28U,78.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
QHPW6DF4L,R3U9XBG,CGW3K0DZV,83.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,3
QN476Q1B7,R3CIL6P,CMGUX28CI,80.2,Language,Shorten sentences; check grammar in templates.,No,Yes,17
QXHBXYE07,RBOEB9D,CB86SN0WZ,77.1,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,6
QPV8KL28O,RVOJX6Q,CIJEKL1K5,86.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QIZPGIY2L,RILR9IM,CL3OLT1J7,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,17
Q0TREUDLI,RJX8UH8,CSK87RAVT,69.8,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QXIJ4GS23,R3CIL6P,CT49QCID1,75.4,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,7
QIIYP79PJ,RX70EUX,C7PJ9DRSR,85.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,18
QJ18619FH,RKBQMI1,CO9OH5WUP,96.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,5
QHILWFR78,RX70EUX,CC0AG9P0R,65.3,Policy,Missed policy nuance; add the required verification step.,No,Yes,6
QI1Z3ZBPO,RGTYOX0,C660H8TTZ,82.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,4
Q0JUE7GI7,ROD2CCE,C0QV7S0DH,61.4,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,17
QWAC2GZAJ,RXYNE26,C7SUGI3KV,86.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,15
Q3N491QPN,RVOJX6Q,C18UV0JLW,80.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QOQALN2JX,RGTYOX0,CGSUWOOY0,98.2,Language,Shorten sentences; check grammar in templates.,Yes,No,19
Q6MLCMHMH,RVLO5D3,CX5W8EMED,85.2,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,12
QO51V4X32,RJX8UH8,CF94IE39G,76.2,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,10
QXX593E2S,RQTPZN2,CODZEGF59,89.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,8
QZ9D9M8BW,RYZBJPT,CO9OH5WUP,69.7,Language,Shorten sentences; check grammar in templates.,No,Yes,8
QU81X3Q72,RV5J536,CTVH47OD4,91.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QZ2FQMO7U,RSHG3JO,CNEO7J6JG,88.2,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QGACRZH7F,RBOEB9D,CPNMF4LK8,70.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,20
QMOM5S7J1,ROD2CCE,CV7OEI60D,77.4,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,6
QSLY0FSUJ,RQTPZN2,C6DLFLTKC,84.9,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QYJ3WH95G,RQTPZN2,CPD340WOT,66.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
QIM5M1D8W,R1NKAAB,C2GQWMAC7,82.0,Language,Shorten sentences; check grammar in templates.,Yes,No,10
QID41S30G,RKBQMI1,CJ2JZ2Q0J,89.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QHKUAZPS0,RQTPZN2,CVWMNYBIV,53.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,14
QCIK60GZA,RQTPZN2,C0KBM7225,85.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
Q2T7EZWJO,RKBQMI1,CMKRH9GRS,67.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,12
QEP9O3QUB,RBOEB9D,CKI3FB48I,86.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QQ27A06U8,RBOEB9D,C7MC2XWB1,100.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q703UPK3X,R1NKAAB,C5EJDZIL4,74.5,Empathy,Improve tone and acknowledgment before solution.,No,Yes,7
Q7B4WCIC7,RJX8UH8,C6BALHRKM,68.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,19
Q8DRUE58I,R3CIL6P,CB0NSJNLB,86.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q277WUQXC,RKBQMI1,C6NI7Y1QQ,83.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
Q5EI1CON7,REU373Y,CNABMQ2E4,77.8,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,3
QEG79V36M,R1NKAAB,CB18RTRCW,90.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QQDC7VOX0,ROD2CCE,C69IGZKHB,85.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,21
QJRUCGCYZ,ROD2CCE,CC0AG9P0R,87.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,15
QPM30KXOR,R1NKAAB,CXK0PELT2,87.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QIQ7DBKPE,RBOEB9D,C7EV2IJR5,91.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,19
QGGHDQ1QE,R6TL5AY,C5LT7TY69,89.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,3
QIPQHNRZR,ROD2CCE,C90HVWXAK,94.7,Language,Shorten sentences; check grammar in templates.,Yes,No,20
Q3UW5EI81,RRP3YAQ,CMXZ4O7LH,80.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QZ7TDCHSH,RGTYOX0,CD8IXYR5D,84.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QKU5G63JY,R2KT8NL,CPBY1KMIO,72.2,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,10
QD3CNU71G,RKBQMI1,CMADD10ZQ,64.2,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QYOVZVA6J,RJX8UH8,CY7P30UGU,74.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,18
Q62715EPR,RILR9IM,CPUBEZ1BS,81.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QBTB2EU2W,RRP3YAQ,CF3U7PHV7,84.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,8
QGLKR5567,R3U9XBG,CSVIQYPNC,64.7,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,11
QGMV5KA47,RABAG5I,CC9Q959TP,99.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QBZ0TWCJ5,R3U9XBG,CW1S3HZBD,82.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,9
QK8LC9DRG,R1VCYW5,CISZBVRCJ,79.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,13
Q9QTE51ET,RVLO5D3,CR1QZTK5Z,86.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QKPD01JXI,RS6K3JJ,CZK1J5NBF,80.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,6
QDLSP2UUN,RABAG5I,CHG9D25BV,67.4,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QKHTPQ5NE,RQTPZN2,CVEJIXLU0,78.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,4
QC5X0Z1SN,R1VCYW5,CD0X0T28U,89.5,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QEJ35KK3P,R3CIL6P,C47RCMHRV,84.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,21
QGF7JWO1N,RXYNE26,C7FHVV273,78.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
QJ4BMAOV8,RABAG5I,CF9KRAEHB,75.8,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,19
Q5Y9JW3CU,RXYNE26,CXHQGA42S,84.1,Language,Shorten sentences; check grammar in templates.,No,Yes,12
QOXX83UGL,RGTYOX0,CGSUWOOY0,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,9
QSMZGXR2B,RVLO5D3,CGRH6JFU5,84.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QH4X5Y5BI,RO60RRW,C4WJ1C36Z,84.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
Q3EJG2WYW,RO60RRW,CMUFN1JES,94.7,Policy,Missed policy nuance; add the required verification step.,Yes,No,17
Q9NP12YB5,R1VCYW5,CM8LF78LV,78.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,11
QNRNO8B9Z,RILR9IM,CJKPBYWLN,80.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,13
QDWRRY0XN,RXYNE26,CJZ247EE7,90.8,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
QDHJQOVN2,RS6K3JJ,CQFM8JGYH,75.4,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,17
QW1X381L6,RX70EUX,CTSTBRKWI,87.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QJUXAUF8N,RE2MZO2,CT49QCID1,91.3,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QOX6J29M5,R3U9XBG,C9TXH03YR,86.9,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QW6A8AZ1F,RRP3YAQ,CZX026PQW,80.4,Language,Shorten sentences; check grammar in templates.,Yes,No,14
QT2HAH2V7,RABAG5I,CTR3J8LTS,77.6,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,3
Q5BPY93HJ,RQTPZN2,CK8W2Q5CE,79.3,Language,Shorten sentences; check grammar in templates.,Yes,No,24
QK4KZRHNZ,RX70EUX,CTRL1DJER,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,4
QZ6AJBRQ9,R3CIL6P,CJ2JZ2Q0J,63.5,Empathy,Improve tone and acknowledgment before solution.,No,Yes,10
QJLHSO0MY,RO60RRW,CL4YO6OUI,73.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QIOUO3MTZ,RS6K3JJ,C2GSKH8HD,97.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,6
QT1Q4S0HG,RYZBJPT,CVBEXDMVX,83.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,10
Q2KCJGGS9,RJX8UH8,CSHUY8T78,68.9,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,3
QH3GDH78X,RQTPZN2,CXRC9HDVO,77.7,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
Q8VODU9AA,RGQO9D4,CU3CHJ2ST,84.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QAG0ULENC,RYZBJPT,CTATOZ58V,95.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,18
Q776H2U9A,RS6K3JJ,CTAK7S8SA,92.2,Empathy,Improve tone and acknowledgment before solution.,Yes,No,10
QP2HE0PEP,RKBQMI1,CPEJ45WEE,87.8,Policy,Missed policy nuance; add the required verification step.,Yes,No,14
Q2O9BLOCP,RSHG3JO,CPD340WOT,70.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,13
QXBMB53QJ,R6TL5AY,CCGP22JPF,86.1,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
QQJ619NUU,R3CIL6P,C4EWN1C6Z,93.7,Empathy,Improve tone and acknowledgment before solution.,Yes,No,11
Q0247N0KY,RRP3YAQ,C032248VI,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,7
Q0O9R685L,RS6K3JJ,C3EPEU7CO,75.4,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,19
QWT424EI6,ROD2CCE,CU4UCC1BN,72.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
Q0FODWDW8,R1NKAAB,CJDLOWJFG,68.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,17
QD55J1Z46,R1NKAAB,C35TWZSGP,67.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,5
QYJSQWJRB,RO60RRW,CADEZHJ45,97.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
QSTO7ZR2Q,RGQO9D4,CKX6BAAFB,67.4,Language,Shorten sentences; check grammar in templates.,No,Yes,6
QHG3C1MZH,R6TL5AY,CJX6JYCAB,82.6,Policy,Missed policy nuance; add the required verification step.,Yes,No,21
QAQSHQOTK,RGQO9D4,C7MMDPRXF,69.9,Policy,Missed policy nuance; add the required verification step.,No,Yes,13
Q7NLRRMMN,RE2MZO2,CWL7KTTIR,88.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,6
Q5OS8LHMQ,RSHG3JO,C1I24YL8Y,71.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
Q9VYVM2M2,RV5J536,CO3HISU0K,87.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,12
Q46H0YJ3K,R1VCYW5,C7PF3WZDL,80.3,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
Q0OSYTBBF,RT9XGGL,CG2NPTP1I,87.3,Language,Shorten sentences; check grammar in templates.,Yes,No,11
QDJGMF72X,RDHQQWC,CSTFYEQLF,94.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,3
QD3ZMMU1S,RABAG5I,CH5FBH1VM,83.4,Language,Shorten sentences; check grammar in templates.,Yes,No,12
QGWI22ON9,R3U9XBG,CZBQVEKMX,87.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,11
Q0O83E4NV,RKBQMI1,C00OO6UFZ,100.0,Language,Shorten sentences; check grammar in templates.,Yes,No,13
QKY1XPU2M,RKBQMI1,C2G6FABH5,76.7,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,15
Q168DS3IV,RT9XGGL,CNT8HFJ5B,90.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,12
QPWJJYHFF,RGTYOX0,CQATB7VNR,71.4,Language,Shorten sentences; check grammar in templates.,No,Yes,11
QH4PKUEQP,RDHQQWC,CYDGV2GK7,93.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,5
QSH9IX5X8,RVLO5D3,C0DKBBIUC,73.1,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
QGHBY6HQZ,RSHG3JO,CQXC9NAXU,76.7,Empathy,Improve tone and acknowledgment before solution.,Yes,Yes,9
QBZVRKSWY,RILR9IM,CR1QZTK5Z,100.0,Policy,Missed policy nuance; add the required verification step.,Yes,No,6
QD41DJQQG,RSHG3JO,CCCMHTAKQ,86.2,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,13
QEK1VAGQM,RV5J536,C2TQONTYP,82.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,16
QOO9WTK7J,RS6K3JJ,CQZOGND1G,74.9,Empathy,Improve tone and acknowledgment before solution.,No,Yes,16
QD7DQ9540,RE2MZO2,CSHUY8T78,83.1,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,7
QWWWMJL80,RS6K3JJ,C1ML2Y363,90.6,Empathy,Improve tone and acknowledgment before solution.,Yes,No,9
QZDQPNWTH,RX70EUX,COIJPMHME,87.4,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
QN9SZL678,RS6K3JJ,C1HQYX6EK,78.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,6
QNUHHWU33,R3U9XBG,C9LPLPAVV,94.4,Policy,Missed policy nuance; add the required verification step.,Yes,No,3
QQEH71B84,RYZBJPT,C1TX49DZI,72.0,Compliance,Avoid free‑form refunds; follow threshold table.,No,Yes,8
QYX102KY9,R1NKAAB,CA1RZXPLW,85.3,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,11
QNYR7YY84,R3U9XBG,CGHUOPR05,89.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,21
QUH62CJ5Z,RKBQMI1,CH8TLKUAJ,71.6,Policy,Missed policy nuance; add the required verification step.,No,Yes,18
QR3BO3UA4,RRP3YAQ,CCUJHB6PM,91.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,10
QRM3IYQJQ,ROD2CCE,C3XF0HV88,78.9,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
QW69SH3MU,RVLO5D3,CY0MEK367,71.8,Policy,Missed policy nuance; add the required verification step.,No,Yes,6
QAU1DYPVZ,REU373Y,C7P9C0VII,73.1,Empathy,Improve tone and acknowledgment before solution.,No,Yes,21
QGDPWSUFX,RYZBJPT,C3BPVSY2O,79.5,Policy,Missed policy nuance; add the required verification step.,Yes,No,13
Q5E7OT3RF,R1VCYW5,C2OUQKKCP,90.0,Empathy,Improve tone and acknowledgment before solution.,Yes,No,14
QHMCUFELR,RXYNE26,COIJPMHME,77.2,Language,Shorten sentences; check grammar in templates.,Yes,Yes,18
QZ9NCTLCF,RYZBJPT,CG05DDD2L,62.0,Policy,Missed policy nuance; add the required verification step.,No,Yes,10
QUCK5NZVA,RXYNE26,CT0NTKJEL,75.7,Policy,Missed policy nuance; add the required verification step.,Yes,Yes,11
Q5UJLYGK9,RGQO9D4,CZY9B12PK,90.5,Policy,Missed policy nuance; add the required verification step.,No,Yes,11
QWE85OGF4,RSHG3JO,CCJYFP1FR,84.7,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,No,3
QCKAC31LG,R1VCYW5,CONAG1MFK,66.0,Empathy,Improve tone and acknowledgment before solution.,No,Yes,19
QHR5PLUC0,RRP3YAQ,C2GSKH8HD,64.3,Empathy,Improve tone and acknowledgment before solution.,No,Yes,17
QLUCGMZVB,RRP3YAQ,CY5EZT3E9,83.5,Empathy,Improve tone and acknowledgment before solution.,Yes,No,15
Q994MBC55,RGTYOX0,CPQW24AXD,77.0,Compliance,Avoid free‑form refunds; follow threshold table.,Yes,Yes,17
Q1VBH987S,RKBQMI1,C29TA5FEY,95.4,Policy,Missed policy nuance; add the required verification step.,No,Yes,18
QNTPIXRE3,RGTYOX0,CW3XVQIK0,82.2,Language,Shorten sentences; check grammar in templates.,Yes,No,13
